inv,nse,name
ADTB,ABCAPITAL,adityabirlacapital
HUBT,HUBTOWN,hubtown
TIIN,3IINFOTECH,3iinfotech
TMIN,3MINDIA,3mindia
ABB,ABB,abbindia
ACC,ACC,acc
ARTI,AARTIIND,aartiindustries
ABAN,ABAN,abanoffshore
ADEL,ADANIENT,adanienterprises
ADAN,ADANIPOWER,adanipower
AGRO,ATFL,agrotechfoods
AIAE,AIAENG,aiaengineering
AKZO,AKZOINDIA,akzonobelindia
ACLL,ALLCARGO,allcargologistics
ADIS,ADSL,allieddigitalservices
ALOK,ALOKINDS,alokindustries
GEPO,GEPIL,gepowerindia
AMAR,AMARAJABAT,amararajabatteries
ABUJ,AMBUJACEM,ambujacements
CASE,CASTEXTECH,castextechnologies
ANRA,ANANTRAJ,anantraj
ANSP,ANSALAPI,ansalpropertiesandinfrastructure
APLO,APOLLOTYRE,apollotyres
APTA,APTECHT,aptech
ARSS,ARSSINFRA,arssinfrastructureprojects
ARVN,ARVIND,arvind
AISG,ASAHIINDIA,asahiindiaglass
ASOK,ASHOKLEY,ashokleyland
ASPN,ASIANPAINT,asianpaints
ASTR,ASTRAZEN,astrazenecapharmaindia
ATLP,ATUL,atul
ARBN,AUROPHARMA,aurobindopharma
ATOA,AUTOAXLES,automotiveaxles
SANO,SANOFI,sanofiindia
AXBK,AXISBANK,axisbank
BGRE,BGRENERGY,bgrenergysystems
LIND,LINDEINDIA,lindeindia
BAJA,BAJAJ-AUTO,bajajauto
BJEL,BAJAJELEC,bajajelectricals
BJFN,BAJFINANCE,bajajfinance
BJFS,BAJAJFINSV,bajajfinserv
BJAT,BAJAJHLDNG,bajajholdingsandinvestment
BLTE,BALAJITELE,balajitelefilms
BILT,BALLARPUR,ballarpurindustries
BLMR,BALMLAWRIE,balmerlawrieandcompany
BACH,BALRAMCHIN,balrampurchinimills
BNCO,BANCOINDIA,bancoproductsindia
BANN,BANARISUG,bannariammansugars
BASF,BASF,basfindia
BATA,BATAINDIA,bataindia
BEML,BEML,beml
BRGR,BERGEPAINT,bergerpaintsindia
BFUT,BFUTILITIE,bfutilities
BHAN,BEPL,bhansaliengineeringpolymers
BFRG,BHARATFORG,bharatforge
BRTI,BHARTIARTL,bhartiairtel
BHEL,BHEL,bharatheavyelectricals
BAJE,BEL,bharatelectronics
TATS,TATASTLBSL,tatasteelbsl
BION,BIOCON,biocon
BRLC,BIRLACORPN,birlacorporation
BLDT,BLUEDART,bluedartexpress
BLUS,BLUESTARCO,bluestar
BDYN,BOMDYEING,bombaydyeingandmfgcompany
BRFL,BRFL,bombayrayonfashions
BOSH,BOSCHLTD,bosch
BRIG,BRIGADE,brigadeenterprises
BRIT,BRITANNIA,britanniaindustries
CADI,CADILAHC,cadilahealthcare
CNFH,CANFINHOME,canfinhomes
CRBR,CARBORUNIV,carborundumuniversal
CAST,CASTROLIND,castrolindia
CNTE,CENTENKA,centuryenka
CNTY,CENTURYTEX,centurytextilesandindustries
CESC,CESC,cesc
CHPC,CHENNPETRO,chennaipetroleumcorporation
CHLA,CHOLAFIN,cholamandalaminvestmentandfinancecompany
CIPL,CIPLA,cipla
CTBK,CUB,cityunionbank
CLAC,CLNINDIA,clariantchemicalsindia
COAL,COALINDIA,coalindia
COLG,COLPAL,colgatepalmoliveindia
CCRI,CONCOR,containercorporationofindia
CORF,COROMANDEL,coromandelinternational
COKI,COX&KINGS,coxandkings
CRSL,CRISIL,crisil
CGPO,CGPOWER,cgpowerandindustrialsolutions
CUMM,CUMMINSIND,cumminsindia
DBRL,DBREALTY,dbrealty
DABU,DABUR,daburindia
DCMS,DCMSHRIRAM,dcmshriram
DCWL,DCW,dcw
DELT,DELTACORP,deltacorp
DAMS,DHAMPURSUG,dhampursugarmills
DNBK,DHANBANK,dhanlaxmibank
DSTV,DISHTV,dishtvindia
DIVI,DIVISLAB,divislaboratories
DLF,DLF,dlf
DRDG,DREDGECORP,dredgingcorporationofindia
DYNM,DYNAMATECH,dynamatictechnologies
EIHO,EIHOTEL,eih
ECLE,ECLERX,eclerxservices
EDEL,EDELWEISS,edelweissfinancialservices
EDSO,EDUCOMP,educompsolutions
EICH,EICHERMOT,eichermotors
ELST,ELECTCAST,electrosteelcastings
ELGE,ELGIEQUIP,elgiequipments
EMAM,EMAMILTD,emami
ENGI,ENGINERSIN,engineersindia
ENIL,ENIL,entertainmentnetworkindia
ESAB,ESABINDIA,esabindia
ESCO,ESCORTS,escorts
ESSL,ESSELPACK,esselpropack
EKCL,EKC,everestkantocylinder
EXID,EXIDEIND,exideindustries
FDC,FDC,fdc
SCHE,SCHAEFFLER,schaefflerindia
63MO,63MOONS,63moonstechnologies
FNXC,FINCABLES,finolexcables
FINX,FINPIPE,finolexindustries
FISO,FSL,firstsourcesolutions
FOHE,FORTIS,fortishealthcare
GHCH,GHCL,ghcl
GAIN,GAMMNINFRA,gammoninfrastructureprojects
GARD,GARDENSILK,gardensilkmills
GATE,GDL,gatewaydistriparks
GILE,GILLETTE,gilletteindia
GLAX,GLAXO,glaxosmithklinepharmaceuticals
GLEN,GLENMARK,glenmarkpharmaceuticals
GMRI,GMRINFRA,gmrinfrastructure
GDFR,GODFRYPHLP,godfreyphillipsindia
GOCP,GODREJCP,godrejconsumerproducts
GODI,GODREJIND,godrejindustries
GODR,GODREJPROP,godrejproperties
GRPH,GRAPHITE,graphiteindia
GRAS,GRASIM,grasimindustries
GRVL,GREAVESCOT,greavescotton
GTLI,GTLINFRA,gtlinfrastructure
GTL,GTL,gtl
GUJL,FLUOROCHEM,gujaratfluorochemicals
GJIP,GIPCL,gujaratindustriespowercompany
GMDC,GMDCLTD,gujaratmineraldevelopmentcorporation
GAME,GAEL,gujaratambujaexports
GSFC,GSFC,gujaratstatefertilizersandchemicals
GPPL,GPPL,gujaratpipavavport
GSPT,GSPL,gujaratstatepetronet
GGAS,GUJGASLTD,gujaratgas
GVKP,GVKPIL,gvkpowerandinfrastructure
HAWY,HATHWAY,hathwaycableanddatacom
HVEL,HAVELLS,havellsindia
HCLI,HCL-INSYS,hclinfosystems
HCLT,HCLTECH,hcltechnologies
HDBK,HDFCBANK,hdfcbank
HEGL,HEG,heg
HROM,HEROMOTOCO,heromotocorp
HEXT,HEXAWARE,hexawaretechnologies
HMSD,HIMATSEIDE,himatsingkaseide
HFCL,HFCL,hfcl
HCNS,HCC,hindustanconstructioncompany
HPCL,HINDPETRO,hindustanpetroleumcorporation
HLL,HINDUNILVR,hindustanunilever
HZNC,HINDZINC,hindustanzinc
HALC,HINDALCO,hindalcoindustries
HOEX,HINDOILEXP,hindustanoilexplorationcompany
HONE,HONAUT,honeywellautomationindia
