symbol,name
ADTB,Aditya Birla Capital
HUBT,Hubtown
TIIN,3i Infotech
TMIN,3M India
ABB,ABB India
ACC,ACC
ARTI,Aarti Industries
ABAN,Aban Offshore
ABGS,ABG Shipyard
ADEL,Adani Enterprises
ADAN,Adani Power
AGRO,Agro Tech Foods
AIAE,AIA Engineering
AKZO,Akzo Nobel India
ALBK,Allahabad Bank
ACLL,Allcargo Logistics
ADIS,Allied Digital
ALOK,Alok Industries
GEPO,GE Power India
AMAR,Amara Raja Batteries
ABUJ,Ambuja Cements
AMTK,Amtek Auto
CASE,Castex Technologies
ANRA,Anant Raj
ADBK,Andhra Bank
ANSP,Ansal Properties
APLH,Apollo Hospitals
APLO,Apollo Tyres
APTA,Aptech
ARSS,ARSS Infrastructure
ARVN,Arvind
AISG,Asahi India Glass
ASOK,Ashok Leyland
ASPN,Asian Paints
ASTR,AstraZeneca Pharma
ATLP,Atul
ARBN,Aurobindo Pharma
ATOA,Automotive Axles
SANO,Sanofi India
AXBK,AXIS Bank
BGRE,BGR Energy Systems
LIND,Linde India
BAJA,Bajaj Auto
BJEL,Bajaj Electricals
BJFN,Bajaj Finance
BJFS,Bajaj Finserv
BJAT,Bajaj Holdings
BJHN,Bajaj Hindustan
BLTE,Balaji Telefilms
BILT,Ballarpur Industries
BLMR,Balmer Lawrie&Co.
BACH,Balrampur Chini Mills
BNCO,Banco Products India
BOI,Bank of India
BANN,Bannari Amman Sugars
BASF,BASF India
BATA,Bata India
BEML,BEML
BRGR,Berger Paints
BFUT,BF Utilities
BHAN,Bhansali Eng Polymers
BFRG,Bharat Forge
BPCL,Bharat Petroleum
BRTI,Bharti Airtel
BHEL,Bharat Heavy Electricals
BAJE,Bharat Electronics
TATS,Tata Steel BSL
BION,Biocon
BRLC,Birla Corporation
BOB,Bank Of Baroda
BLDT,Blue Dart Express
BLUS,Blue Star
BDYN,Bombay Dyeing&Mfg.
BRFL,Bombay Rayon Fashions
BOSH,Bosch
BRIG,Brigade Enterprises
BRIT,Britannia Industries
CADI,Cadila Healthcare
CNBK,Canara Bank
CNFH,Can Fin Homes
CRBR,Carborundum Universal
CAST,Castrol India
CBI,CBI
CNTE,Century Enka
CNTP,Century Plyboards
CNTY,Century Textiles
CESC,CESC
CHMB,Chambal Fertilisers
CHPC,Chennai Petroleum
CHLA,Cholamandalam
CIPL,Cipla
CTBK,City Union Bank
CLAC,Clariant Chemicals India
CMC,CMC
COAL,Coal India
COLG,Colgate-Palmolive India
CCRI,Container India
CRBK,Corporation Bank
CORF,Coromandel Int
COKI,Cox & Kings
CRSL,CRISIL
CGPO,CG Power and Industrial Solutions
CUMM,Cummins India Ltd
DBRL,D B Realty
DABU,Dabur India
DCMS,DCM Shriram
DCWL,DCW
DPFE,Deepak
DELT,Delta Corp
DENA,Dena Bank
DCBA,DCB Bank Ltd
DWNH,Dewan Housing
DAMS,The Dhampur Sugar Mills
DNBK,Dhanlaxmi Bank
DSTV,Dish TV India
DIVI,Divi's Labs
DLF,DLF
REDY,Dr. Reddy's Labs
DRDG,Dredging Corporation
DYNM,Dynamatic Technologies
EIHO,EIH
ECLE,eClerx Services
EDEL,Edelweiss Financial
EDSO,Educomp Solutions
EICH,Eicher Motors
EIDP,E.I.D-Parry
ELST,Electrosteel Castings
ELGE,Elgi Equipments
EMAM,Emami
ENGI,Engineers India
ENIL,Entertainment Network India
ESAB,Esab India
ESCO,Escorts
ESSL,Essel Propack
EKCL,Everest Kanto Cylinder
EXID,Exide Industries
FDC,FDC
SCHE,Schaeffler India
FED,Federal Bank
FEDM,Federal Mogul Goetze
63MO,63 Moons Tech
FNXC,Finolex Cables
FINX,Finolex Industries
FISO,Firstsource Solutions
FOHE,Fortis Healthcare
CAPF,Capital First
GHCH,GHCL
GAIL,GAIL Ltd
GAMM,Gammon India
GAIN,Gammon Infrastructure
GARD,Garden Silk Mills
GATE,Gateway Distriparks
GEOJ,Geojit BNP Paribas
GEOM,Geometric
GESC,Great Eastern Shipping
GILE,Gillette India
GTGM,Gitanjali Gems
GLAX,GlaxoSmithkline Pharma
GLEN,Glenmark Pharma
GMRI,GMR Infrastructure
GDFR,Godfrey Phillips India
GOCP,Godrej Consumer
GODI,Godrej Industries
GODR,Godrej Properties
GRPH,Graphite India
GRAS,Grasim Industries
GRVL,Greaves Cotton
GTLI,GTL Infrastructure
GTL,GTL
GALK,Gujarat Alkalis&Chemicals
GUJL,Gujarat Fluorochemicals
GJIP,Gujarat Industries
GMDC,Gujarat Mineral
GNFC,Gujarat Narmada Valley Fert.
GJNC,Gujarat NRE Coke
GAME,Gujarat Ambuja Exports
GSFC,Gujarat State Fertilizers
GPPL,Gujarat Pipavav Port
GSPT,Gujarat State Petronet
GGAS,Gujarat Gas
GVKP,GVK Power
HAWY,Hathway Cable
HVEL,Havells India
HCLI,HCL Infosystems
HCLT,HCL Tech
HDBK,HDFC Bank
HEGL,HEG
HROM,Hero MotoCorp
HEXT,Hexaware Technologies
HMSD,Himatsingka Seide
HFCL,HFCL
HCNS,Hindustan Construction
HPCL,Hindustan Petroleum
HLL,Hindustan Unilever
HZNC,Hindustan Zinc
HALC,Hindalco Industries
HOEX,Hindustan Oil
HONE,Honeywell Automation
HTLE,Hotel Leela Venture
HDFC,Housing Development Finance
HDIL,Housing Development
HSNT,HSIL
HTML,HT Media
IFCI,IFCI
IOC,Indian Oil
ICBK,ICICI Bank
IDBI,IDBI Bank
VODA,Vodafone Idea
ILFE,IL&FS Eng.
ISLB,Ind-Swift Labs
INDB,Indiabulls Ventures
ICMN,India Cements
IGLY,India Glycols
IIFL,IIFL Fiinance B
INBA,Indian Bank
IHTL,Indian Hotels Co.
IOBK,Indian Overseas Bank
IRSY,Indo Rama Synthetics
IGAS,Indraprastha Gas
IMCL,Indraprastha Medical
INBK,IndusInd Bank
INED,Info Edge India
INFY,Infosys
CYIE,Cyient Ltd-B
IDFC,IDFC
INGR,Ingersoll-Rand IN
INOL,Inox Leisure
IPCA,Ipca Laboratories
IRBI,IRB Infrastructure
ITC,ITC
IVRC,IVRCL
JSTL,JSW Steel
JAGP,Jagran Prakashan
JAIB,Jai Balaji Industries
JAIC,Jai Corp
JAIR,Jain Irrigation
JAIA,Jaiprakash Associates
JAPR,Jaiprakash Power
JKBK,Jammu and Kashmir Bank
JYPE,Jaypee Infratech
JYST,Jay Shree
JBCH,J.B. Chemicals&Pharma
JET,Jet Airways
JPLY,Jindal Poly Films
JNSW,Jindal South West
JIST,Jindal Stainless
JNSP,Jindal Steel&Power
JKIN,JK Tyre&Industries
JMSH,JM Financial
JSWE,JSW Energy
JSWI,JSW ISPAT Steel
JULS,Jubilant Life Sciences
JUBI,Jubilant Foodworks
JYTS,Jyoti Structures
KCP,KCP
KAJR,Kajaria Ceramics
KAPT,Kalpataru Power
KANE,Kansai Nerolac Paints
KBNK,Karnataka Bank
KART,Karuturi Global
KARU,Karur Vysya Bank
KECL,KEC International
KSRM,Kesoram Industries
KTKM,Kotak Mahindra Bank
BIRS,Birlasoft
KSBL,KSB
KSKE,KSK Energy Ventures
LVLS,Lakshmi Vilas Bank
LAKO,Lakshmi Energy
LKMC,Lakshmi Machine Works
LAIN,Lanco Infratech
LART,Larsen & Toubro
LICH,Lic Housing Finance
LUPN,Lupin
MMFS,Mahindra & Mahindra Financial
TRCE,The Ramco Cements
MAHM,Mahindra & Mahindra
MALD,Mahindra Lifespace
MHSM,Maharashtra Seamless
MRCO,Marico
MRTI,Maruti Suzuki
MAST,Mastek
MAXI,Max Financial
MCLE,McLeod Russel
MRCT,Mercator
PROR,Merck Ltd
MINT,MindTree
MIRC,MIRC Electronics
MNET,Monnet Ispat
MNSN,Monsanto India
MOSR,Moser Baer India Ltd
MOSS,Motherson Sumi Systems
MOFS,Motilal Oswal
MBFL,Mphasis
MRF,M.R.F.
MRPL,Mangalore
MTNL,Mahanagar Telephone
APSE,Adani
MVLL,MVL
NIIT,NIIT
NTPC,NTPC
NAFT,National Fertilizers
NALU,National Aluminum Co.
NABV,Nava Bharat Ventures
NAVN,Navneet Education
NCCL,NCC
NELC,Nelco
NEFI,Network 18 Media
NDTV,New Delhi Television
NLCI,NLC India
NHPC,NHPC
NKML,Nilkamal
NMDC,NMDC
NOID,Noida Toll Bridge
ONGC,Oil & Natural Gas
OEBO,Oberoi Realty
OILI,Oil India
OMAX,Omaxe
OPTO,Opto Circuits
ORCL,Oracle
ORCD,Orchid Pharma
ORHT,Oriental Hotels
ORPP,Orient Paper Industries
